Time,ke1,ke2,Ue1,Et
251,5.093617466766409e-12,9.58186176931733e-14,6.98662887180404e-10,7.038523232648636e-10
252,6.5029403672420414e-12,3.604484382225784e-14,7.150903532826212e-10,7.216293384936856e-10
253,7.39711028940233e-12,1.4540652731863944e-14,7.639614448701819e-10,7.713730958123161e-10
254,7.694288127051326e-12,9.7023301389593e-15,8.524202119154869e-10,8.601242023726771e-10
255,7.354308904586856e-12,1.532684275709439e-14,1.0039599223092457e-09,1.0113295580565896e-09
256,6.373686484616042e-12,4.0101255226701763e-14,1.2830981027037764e-09,1.2895118904436192e-09
257,4.8093213997811776e-12,1.1264611922196807e-13,1.914945286835387e-09,1.9198672543543903e-09
258,2.845629959963078e-12,2.940343531949741e-13,4.497738181310034e-09,4.500877845623191e-09
259,9.32989310665914e-13,6.998837705622857e-13,-8.196710668785666e-09,-8.195077795704438e-09
260,6.708754120782837e-17,1.523415091275129e-12,-1.971119064372451e-09,-1.9695955821936347e-09
261,1.4965448341671045e-12,2.994100720206304e-12,-1.0949257850795907e-09,-1.0904351395252172e-09
262,6.2532794317095696e-12,5.070655673307733e-12,-7.824931542662042e-10,-7.711692191611869e-10
263,1.156538143034912e-11,6.86068229996872e-12,-6.811089710872637e-10,-6.626829073569458e-10
264,1.2133788045410348e-11,7.038400689028532e-12,-7.584055693365484e-10,-7.392333806021095e-10
265,7.710301233908564e-12,5.590972499855384e-12,-1.2395440098260076e-09,-1.2262427360922438e-09
266,2.9007521276883614e-12,3.710381748272007e-12,-7.337586723961006e-09,-7.330975590085046e-09
267,3.8989811489026077e-13,2.2077230568438924e-12,2.1695497898333205e-09,2.1721474110050547e-09
268,9.522579116100104e-14,1.220899405153194e-12,1.1203336965040867e-09,1.1216498217004008e-09
269,1.139645314080294e-12,6.32185770516817e-13,8.565171077977642e-10,8.582889388823613e-10
270,2.775140294258792e-12,3.0341641132137606e-13,7.57117584804992e-10,7.601961415105722e-10
271,4.512306707231822e-12,1.3228814937620548e-13,7.228796781293757e-10,7.275242729859838e-10
272,6.04821716640819e-12,5.148956886173179e-14,7.264317257874561e-10,7.32531432522726e-10
273,7.188370051547411e-12,1.8594908759199195e-14,7.611385509221729e-10,7.683455158824795e-10
274,7.795699268055343e-12,8.292313063592037e-15,8.316564044527794e-10,8.394603960338983e-10
275,7.764452769131637e-12,8.714000581004735e-15,9.565721379030835e-10,9.64345304672796e-10
276,7.0171401162482916e-12,2.2343719626406057e-14,1.1870787500013142e-09,1.1941182338371889e-09
277,5.533537164219354e-12,7.321433766934085e-14,1.6937623364631168e-09,1.6993690879650054e-09
278,3.4401218746806073e-12,2.2441252863727968e-13,3.5138288164704672e-09,3.517493350873785e-09
279,1.2124654952509633e-12,6.105746847103366e-13,-1.2604664418037115e-08,-1.2602841377857154e-08
280,1.84928004859276e-15,1.4722599169796883e-12,-2.0053146038176157e-09,-2.0038404946205874e-09
281,1.651905891102248e-12,3.082238065516882e-12,-1.0563536280195106e-09,-1.0516194840628914e-09
282,6.839236880382836e-12,5.283430710406702e-12,-7.472428973957591e-10,-7.351202298049696e-10
283,1.176009559565763e-11,6.921786756227333e-12,-6.638905827509585e-10,-6.452087003990735e-10
284,1.1450168732925364e-11,6.824413020205371e-12,-7.718094982942447e-10,-7.53534916541114e-10
285,7.063096423823311e-12,5.363409998112001e-12,-1.321605350751126e-09,-1.3091788443291908e-09
286,2.77194785264483e-12,3.650478766996447e-12,-8.195475255061773e-09,-8.189052828442132e-09
287,4.656562769590575e-13,2.2786137603466803e-12,2.368257235510832e-09,2.3710015055481376e-09
